Timestamp,Spuntando la casella qui sotto:,Età,Genere,Preferenza visiva,"A feature satisfaction",A ease of use,"B feature satisfaction",B ease of use,Preferisco la variante 
27/01/2026 20:29:51,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,25 - 35,Uomo,Preferisco interfacce con molte immagini rispetto al testo,6,6,6,6,Variante Lista
27/01/2026 21:29:07,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,18 - 25,Uomo,Preferisco interfacce con molte immagini rispetto al testo,6,5,6,6,Variante Lista
28/01/2026 23:45:33,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,25 - 35,Donna,Preferisco interfacce con molte immagini rispetto al testo,6,7,4,5,Variante Griglia
29/01/2026 15:34:09,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,50-65,Donna,Preferisco interfacce con molte immagini rispetto al testo,6,7,6,6,Variante Griglia
30/01/2026 03:39:04,Acconsento volontariamente a partecipare allo studio,25 - 35,Uomo,Nessuna preferenza,5,5,7,7,Variante Lista
29/01/2026 17:59:33,Acconsento volontariamente a partecipare allo studio,18 - 25,Uomo,Nessuna preferenza,5,5,6,3,Variante Griglia
30/01/2026 08:28:28,Acconsento volontariamente a partecipare allo studio,25 - 35,Donna,Preferisco interfacce con molte immagini rispetto al testo,4,4,7,5,Variante Griglia
30/01/2026 10:26:33,Acconsento volontariamente a partecipare allo studio,18 - 25,Donna,Preferisco interfacce con molte immagini rispetto al testo,4,6,4,5,Variante Griglia
01/02/2026 12:33:52,Acconsento volontariamente a partecipare allo studio,50-65,Donna,Preferisco interfacce con molte immagini rispetto al testo,7,4,6,3,Variante Griglia
01/02/2026 20:01:07,Acconsento volontariamente a partecipare allo studio,25 - 35,Donna,Preferisco interfacce con più testo rispetto alle immagini,7,6,5,5,Variante Lista
03/02/2026 11:26:48,Acconsento volontariamente a partecipare allo studio,25 - 35,Donna,Nessuna preferenza,6,3,6,5,Variante Griglia
30/01/2026 10:01:41,Acconsento volontariamente a partecipare allo studio,18 - 25,Uomo,Nessuna preferenza,7,7,4,5,Variante Griglia
01/02/2026 17:40:30,Acconsento volontariamente a partecipare allo studio,50-65,Donna,Preferisco interfacce con molte immagini rispetto al testo,4,4,7,7,Variante Griglia
30/01/2026 04:31:59,Acconsento volontariamente a partecipare allo studio,50-65,Donna,Preferisco interfacce con molte immagini rispetto al testo,6,7,5,7,Variante Lista
31/01/2026 18:34:51,Acconsento volontariamente a partecipare allo studio,25 - 35,Donna,Preferisco interfacce con molte immagini rispetto al testo,6,5,6,3,Variante Griglia
03/02/2026 12:05:26,Acconsento volontariamente a partecipare allo studio,50-65,Donna,Preferisco interfacce con molte immagini rispetto al testo,5,5,7,6,Variante Lista
30/01/2026 07:40:20,Acconsento volontariamente a partecipare allo studio,50-65,Donna,Preferisco interfacce con più testo rispetto alle immagini,5,5,5,3,Variante Griglia
